stop_id,new_stop_id
4957,1283
4958,1284
4960,1285
4961,1286
4962,1287
4963,1288
4964,1289
4966,1290
4967,1291
4968,1292
4969,1293
4970,1294
4971,1295
4972,1296
4973,1297
4976,1298
4979,1299
4980,1300
4984,1301
4985,1302
4991,1303
4992,1304
4993,1305
4994,1306
4997,1307
5000,1308
5001,1309
5002,1310
5003,1311
5004,1312
5011,1313
5012,1314
5013,1315
5014,1316
5015,1317
5017,1318
5018,1319
5020,1320
5029,1321
5030,1322
5031,1323
5032,1324
5034,1325
5036,1326
5037,1327
5038,1328
5039,1329
5040,1330
5041,1331
5042,1332
5043,1333
5044,1334
5045,1335
5046,1336
5047,1337
5048,1338
5049,1339
5050,1340
5051,1341
5065,1342
5068,1343
5071,1344
5079,1345
5084,1346
5087,1347
5092,1348
5093,1349
5094,1350
5095,1351
5096,1352
5097,1353
5098,1354
5099,1355
5100,1356
5101,1357
5102,1358
5103,1359
5104,1360
5106,1361
5107,1362
5108,1363
5110,1364
5111,1365
5112,1366
5113,1367
5114,1368
5115,1369
5116,1370
5118,1371
5124,1372
5125,1373
5126,1374
5129,1375
5130,1376
5131,1377
5132,1378
5134,1379
5135,1380
5136,1381
5138,1382
5139,1383
5140,1384
5141,1385
5145,1386
5147,1387
5151,1388
5158,1389
5160,1390
5161,1391
5162,1392
5163,1393
5165,1394
5166,1395
5167,1396
5170,1397
5171,1398
5172,1399
5173,1400
5174,1401
5175,1402
5184,1403
5185,1404
5186,1405
5187,1406
5189,1407
5190,1408
5191,1409
5192,1410
5193,1411
5194,1412
5195,1413
5196,1414
5197,1415
5198,1416
5199,1417
5200,1418
5201,1419
5202,1420
5203,1421
5204,1422
5205,1423
5206,1424
5207,1425
5208,1426
5209,1427
5210,1428
5211,1429
5212,1430
5213,1431
5214,1432
5215,1433
5216,1434
5219,1435
5220,1436
5221,1437
5223,1438
5224,1439
5225,1440
5227,1441
5228,1442
5229,1443
5232,1444
5233,1445
5235,1446
5236,1447
5242,1448
5243,1449
5244,1450
5245,1451
5247,1452
5249,1453
5250,1454
5253,1455
5254,1456
5255,1457
5256,1458
5257,1459
5258,1460
5260,1461
5261,1462
5263,1463
5269,1464
5272,1465
5273,1466
5274,1467
5275,1468
5276,1469
5277,1470
5278,1471
5279,1472
5280,1473
5281,1474
5282,1475
5283,1476
5284,1477
5285,1478
5286,1479
5288,1480
5289,1481
5290,1482
5291,1483
5292,1484
5293,1485
5294,1486
5295,1487
5296,1488
5297,1489
5300,1490
5301,1491
5304,1492
5305,1493
5306,1494
5307,1495
5309,1496
5310,1497
5311,1498
5314,1499
5315,1500
5316,1501
5317,1502
5318,1503
5319,1504
5320,1505
5321,1506
5323,1507
5324,1508
5325,1509
5326,1510
5327,1511
5328,1512
5329,1513
5330,1514
5331,1515
5334,1516
5336,1517
5337,1518
5338,1519
5339,1520
5340,1521
5341,1522
5342,1523
5343,1524
5344,1525
5347,1526
5348,1527
5349,1528
5350,1529
5351,1530
5352,1531
5353,1532
5354,1533
5384,1534
5385,1535
5389,1536
5390,1537
5391,1538
5392,1539
5393,1540
5394,1541
5395,1542
5396,1543
5397,1544
5398,1545
5399,1546
5400,1547
5401,1548
5404,1549
5405,1550
5420,1551
5422,1552
5423,1553
5424,1554
5425,1555
5426,1556
5427,1557
5428,1558
5429,1559
5430,1560
5431,1561
5432,1562
5433,1563
5434,1564
5435,1565
5436,1566
5437,1567
5438,1568
5439,1569
5440,1570
5441,1571
5442,1572
5443,1573
5444,1574
5445,1575
5446,1576
5447,1577
5450,1578
5451,1579
5452,1580
5453,1581
5454,1582
5455,1583
5456,1584
5458,1585
5459,1586
5460,1587
5461,1588
5462,1589
5464,1590
5465,1591
5466,1592
5467,1593
5468,1594
5469,1595
5470,1596
5471,1597
5472,1598
5474,1599
5475,1600
5476,1601
5477,1602
5482,1603
5483,1604
5485,1605
5486,1606
5487,1607
5488,1608
5489,1609
5490,1610
5491,1611
5500,1612
5501,1613
5503,1614
5504,1615
5505,1616
5507,1617
5508,1618
5509,1619
5510,1620
5511,1621
5513,1622
5514,1623
5515,1624
5516,1625
5517,1626
5518,1627
5519,1628
5528,1629
5529,1630
5530,1631
5531,1632
5532,1633
5533,1634
5534,1635
5535,1636
5536,1637
5537,1638
5538,1639
5539,1640
5540,1641
5541,1642
5542,1643
5543,1644
5544,1645
5545,1646
5546,1647
5547,1648
5548,1649
5551,1650
5552,1651
5553,1652
5554,1653
5557,1654
5558,1655
5561,1656
5562,1657
5565,1658
5566,1659
5567,1660
5568,1661
5571,1662
5572,1663
5573,1664
5574,1665
5575,1666
5577,1667
